 X,Y,I,J,PERIOD
   737591.,  5085145.,  2, 77,      5.720E-04
   737591.,  5085195.,  2, 78,      5.220E-04
   737591.,  5085245.,  2, 79,      4.843E-04
   737591.,  5085295.,  2, 80,      4.546E-04
   737591.,  5085345.,  2, 81,      4.289E-04
   737591.,  5085395.,  2, 82,      4.057E-04
   737591.,  5085445.,  2, 83,      3.829E-04
   737591.,  5085495.,  2, 84,      3.569E-04
   737591.,  5085545.,  2, 85,      3.265E-04
   737591.,  5085595.,  2, 86,      2.975E-04
   737591.,  5085645.,  2, 87,      2.761E-04
   737591.,  5085695.,  2, 88,      2.627E-04
   737591.,  5085745.,  2, 89,      2.534E-04
   737591.,  5085795.,  2, 90,      2.408E-04
   737591.,  5085845.,  2, 91,      2.261E-04
   737591.,  5085895.,  2, 92,      2.118E-04
   737591.,  5085945.,  2, 93,      1.937E-04
   737591.,  5085995.,  2, 94,      1.681E-04
   737591.,  5086045.,  2, 95,      1.404E-04
   737591.,  5086095.,  2, 96,      1.164E-04
   737591.,  5086145.,  2, 97,      9.840E-05
   737591.,  5086195.,  2, 98,      8.473E-05
   737591.,  5086245.,  2, 99,      7.367E-05
   737591.,  5086295.,  2,100,      6.460E-05
   737641.,  5081345.,  3,  1,      3.246E-03
   737641.,  5081395.,  3,  2,      4.075E-03
   737641.,  5081445.,  3,  3,      4.546E-03
   737641.,  5081495.,  3,  4,      4.816E-03
   737641.,  5081545.,  3,  5,      4.987E-03
   737641.,  5081595.,  3,  6,      5.121E-03
   737641.,  5081645.,  3,  7,      5.253E-03
   737641.,  5081695.,  3,  8,      5.374E-03
   737641.,  5081745.,  3,  9,      5.465E-03
   737641.,  5081795.,  3, 10,      5.527E-03
   737641.,  5081845.,  3, 11,      5.566E-03
   737641.,  5081895.,  3, 12,      5.595E-03
   737641.,  5081945.,  3, 13,      5.629E-03
   737641.,  5081995.,  3, 14,      5.638E-03
   737641.,  5082045.,  3, 15,      5.577E-03
   737641.,  5082095.,  3, 16,      5.447E-03
   737641.,  5082145.,  3, 17,      5.251E-03
   737641.,  5082195.,  3, 18,      5.047E-03
   737641.,  5082245.,  3, 19,      4.891E-03
   737641.,  5082295.,  3, 20,      4.831E-03
   737641.,  5082345.,  3, 21,      4.868E-03
   737641.,  5082395.,  3, 22,      4.959E-03
   737641.,  5082445.,  3, 23,      5.026E-03
   737641.,  5082495.,  3, 24,      5.015E-03
   737641.,  5082545.,  3, 25,      4.926E-03
   737641.,  5082595.,  3, 26,      4.786E-03
   737641.,  5082645.,  3, 27,      4.655E-03
   737641.,  5082695.,  3, 28,      4.558E-03
   737641.,  5082745.,  3, 29,      4.465E-03
   737641.,  5082795.,  3, 30,      4.334E-03
   737641.,  5082845.,  3, 31,      4.147E-03
   737641.,  5082895.,  3, 32,      3.906E-03
   737641.,  5082945.,  3, 33,      3.635E-03
   737641.,  5082995.,  3, 34,      3.356E-03
   737641.,  5083045.,  3, 35,      3.077E-03
   737641.,  5083095.,  3, 36,      2.826E-03
   737641.,  5083145.,  3, 37,      2.614E-03
   737641.,  5083195.,  3, 38,      2.450E-03
   737641.,  5083245.,  3, 39,      2.352E-03
   737641.,  5083295.,  3, 40,      2.324E-03
   737641.,  5083345.,  3, 41,      2.349E-03
   737641.,  5083395.,  3, 42,      2.403E-03
   737641.,  5083445.,  3, 43,      2.464E-03
   737641.,  5083495.,  3, 44,      2.491E-03
   737641.,  5083545.,  3, 45,      2.468E-03
   737641.,  5083595.,  3, 46,      2.391E-03
   737641.,  5083645.,  3, 47,      2.281E-03
   737641.,  5083695.,  3, 48,      2.182E-03
   737641.,  5083745.,  3, 49,      2.094E-03
   737641.,  5083795.,  3, 50,      1.989E-03
   737641.,  5083845.,  3, 51,      1.876E-03
   737641.,  5083895.,  3, 52,      1.793E-03
   737641.,  5083945.,  3, 53,      1.754E-03
   737641.,  5083995.,  3, 54,      1.738E-03
   737641.,  5084045.,  3, 55,      1.714E-03
   737641.,  5084095.,  3, 56,      1.683E-03
   737641.,  5084145.,  3, 57,      1.643E-03
   737641.,  5084195.,  3, 58,      1.563E-03
   737641.,  5084245.,  3, 59,      1.450E-03
   737641.,  5084295.,  3, 60,      1.359E-03
   737641.,  5084345.,  3, 61,      1.300E-03
   737641.,  5084395.,  3, 62,      1.251E-03
   737641.,  5084445.,  3, 63,      1.196E-03
   737641.,  5084495.,  3, 64,      1.133E-03
   737641.,  5084545.,  3, 65,      1.070E-03
   737641.,  5084595.,  3, 66,      1.016E-03
   737641.,  5084645.,  3, 67,      9.764E-04
   737641.,  5084695.,  3, 68,      9.484E-04
   737641.,  5084745.,  3, 69,      9.266E-04
   737641.,  5084795.,  3, 70,      9.013E-04
   737641.,  5084845.,  3, 71,      8.702E-04
   737641.,  5084895.,  3, 72,      8.426E-04
   737641.,  5084945.,  3, 73,      8.265E-04
   737641.,  5084995.,  3, 74,      8.153E-04
   737641.,  5085045.,  3, 75,      7.811E-04
   737641.,  5085095.,  3, 76,      7.136E-04
   737641.,  5085145.,  3, 77,      6.415E-04
   737641.,  5085195.,  3, 78,      5.846E-04
   737641.,  5085245.,  3, 79,      5.428E-04
   737641.,  5085295.,  3, 80,      5.102E-04
   737641.,  5085345.,  3, 81,      4.821E-04
   737641.,  5085395.,  3, 82,      4.558E-04
