 X,Y,I,J,PCT1H
   737641.,  5085045.,  3, 75,      2.976E-03
   737641.,  5085095.,  3, 76,      2.732E-03
   737641.,  5085145.,  3, 77,      2.562E-03
   737641.,  5085195.,  3, 78,      2.400E-03
   737641.,  5085245.,  3, 79,      2.344E-03
   737641.,  5085295.,  3, 80,      2.186E-03
   737641.,  5085345.,  3, 81,      2.103E-03
   737641.,  5085395.,  3, 82,      1.903E-03
   737641.,  5085445.,  3, 83,      1.767E-03
   737641.,  5085495.,  3, 84,      1.637E-03
   737641.,  5085545.,  3, 85,      1.536E-03
   737641.,  5085595.,  3, 86,      1.459E-03
   737641.,  5085645.,  3, 87,      1.405E-03
   737641.,  5085695.,  3, 88,      1.321E-03
   737641.,  5085745.,  3, 89,      1.257E-03
   737641.,  5085795.,  3, 90,      1.157E-03
   737641.,  5085845.,  3, 91,      1.089E-03
   737641.,  5085895.,  3, 92,      1.015E-03
   737641.,  5085945.,  3, 93,      9.620E-04
   737641.,  5085995.,  3, 94,      8.885E-04
   737641.,  5086045.,  3, 95,      8.313E-04
   737641.,  5086095.,  3, 96,      7.884E-04
   737641.,  5086145.,  3, 97,      7.472E-04
   737641.,  5086195.,  3, 98,      6.981E-04
   737641.,  5086245.,  3, 99,      6.529E-04
   737641.,  5086295.,  3,100,      6.106E-04
   737691.,  5081345.,  4,  1,      5.067E-02
   737691.,  5081395.,  4,  2,      6.639E-02
   737691.,  5081445.,  4,  3,      7.560E-02
   737691.,  5081495.,  4,  4,      8.328E-02
   737691.,  5081545.,  4,  5,      8.380E-02
   737691.,  5081595.,  4,  6,      8.589E-02
   737691.,  5081645.,  4,  7,      8.916E-02
   737691.,  5081695.,  4,  8,      8.796E-02
   737691.,  5081745.,  4,  9,      8.969E-02
   737691.,  5081795.,  4, 10,      9.022E-02
   737691.,  5081845.,  4, 11,      9.407E-02
   737691.,  5081895.,  4, 12,      9.704E-02
   737691.,  5081945.,  4, 13,      9.546E-02
   737691.,  5081995.,  4, 14,      9.338E-02
   737691.,  5082045.,  4, 15,      8.699E-02
   737691.,  5082095.,  4, 16,      8.795E-02
   737691.,  5082145.,  4, 17,      8.387E-02
