 X,Y,I,J,PCTD
   737641.,  5082295.,  3, 20,      0.000E+00
   737641.,  5082345.,  3, 21,      0.000E+00
   737641.,  5082395.,  3, 22,      0.000E+00
   737641.,  5082445.,  3, 23,      0.000E+00
   737641.,  5082495.,  3, 24,      0.000E+00
   737641.,  5082545.,  3, 25,      0.000E+00
   737641.,  5082595.,  3, 26,      0.000E+00
   737641.,  5082645.,  3, 27,      0.000E+00
   737641.,  5082695.,  3, 28,      0.000E+00
   737641.,  5082745.,  3, 29,      0.000E+00
   737641.,  5082795.,  3, 30,      0.000E+00
   737641.,  5082845.,  3, 31,      0.000E+00
   737641.,  5082895.,  3, 32,      0.000E+00
   737641.,  5082945.,  3, 33,      0.000E+00
   737641.,  5082995.,  3, 34,      0.000E+00
   737641.,  5083045.,  3, 35,      0.000E+00
   737641.,  5083095.,  3, 36,      0.000E+00
   737641.,  5083145.,  3, 37,      0.000E+00
   737641.,  5083195.,  3, 38,      0.000E+00
   737641.,  5083245.,  3, 39,      0.000E+00
   737641.,  5083295.,  3, 40,      0.000E+00
   737641.,  5083345.,  3, 41,      0.000E+00
   737641.,  5083395.,  3, 42,      0.000E+00
   737641.,  5083445.,  3, 43,      0.000E+00
   737641.,  5083495.,  3, 44,      0.000E+00
   737641.,  5083545.,  3, 45,      0.000E+00
   737641.,  5083595.,  3, 46,      0.000E+00
   737641.,  5083645.,  3, 47,      0.000E+00
   737641.,  5083695.,  3, 48,      0.000E+00
   737641.,  5083745.,  3, 49,      0.000E+00
   737641.,  5083795.,  3, 50,      0.000E+00
   737641.,  5083845.,  3, 51,      0.000E+00
   737641.,  5083895.,  3, 52,      0.000E+00
   737641.,  5083945.,  3, 53,      0.000E+00
   737641.,  5083995.,  3, 54,      0.000E+00
   737641.,  5084045.,  3, 55,      0.000E+00
   737641.,  5084095.,  3, 56,      0.000E+00
   737641.,  5084145.,  3, 57,      0.000E+00
   737641.,  5084195.,  3, 58,      0.000E+00
   737641.,  5084245.,  3, 59,      0.000E+00
   737641.,  5084295.,  3, 60,      0.000E+00
   737641.,  5084345.,  3, 61,      0.000E+00
   737641.,  5084395.,  3, 62,      0.000E+00
   737641.,  5084445.,  3, 63,      0.000E+00
   737641.,  5084495.,  3, 64,      0.000E+00
   737641.,  5084545.,  3, 65,      0.000E+00
   737641.,  5084595.,  3, 66,      0.000E+00
   737641.,  5084645.,  3, 67,      0.000E+00
   737641.,  5084695.,  3, 68,      0.000E+00
   737641.,  5084745.,  3, 69,      0.000E+00
   737641.,  5084795.,  3, 70,      0.000E+00
   737641.,  5084845.,  3, 71,      0.000E+00
   737641.,  5084895.,  3, 72,      0.000E+00
   737641.,  5084945.,  3, 73,      0.000E+00
   737641.,  5084995.,  3, 74,      0.000E+00
   737641.,  5085045.,  3, 75,      0.000E+00
   737641.,  5085095.,  3, 76,      0.000E+00
   737641.,  5085145.,  3, 77,      0.000E+00
   737641.,  5085195.,  3, 78,      0.000E+00
   737641.,  5085245.,  3, 79,      0.000E+00
   737641.,  5085295.,  3, 80,      0.000E+00
   737641.,  5085345.,  3, 81,      0.000E+00
   737641.,  5085395.,  3, 82,      0.000E+00
   737641.,  5085445.,  3, 83,      0.000E+00
   737641.,  5085495.,  3, 84,      0.000E+00
   737641.,  5085545.,  3, 85,      0.000E+00
   737641.,  5085595.,  3, 86,      0.000E+00
   737641.,  5085645.,  3, 87,      0.000E+00
   737641.,  5085695.,  3, 88,      0.000E+00
   737641.,  5085745.,  3, 89,      0.000E+00
   737641.,  5085795.,  3, 90,      0.000E+00
   737641.,  5085845.,  3, 91,      0.000E+00
   737641.,  5085895.,  3, 92,      0.000E+00
   737641.,  5085945.,  3, 93,      0.000E+00
   737641.,  5085995.,  3, 94,      0.000E+00
   737641.,  5086045.,  3, 95,      0.000E+00
   737641.,  5086095.,  3, 96,      0.000E+00
   737641.,  5086145.,  3, 97,      0.000E+00
   737641.,  5086195.,  3, 98,      0.000E+00
   737641.,  5086245.,  3, 99,      0.000E+00
   737641.,  5086295.,  3,100,      0.000E+00
   737691.,  5081345.,  4,  1,      0.000E+00
   737691.,  5081395.,  4,  2,      0.000E+00
   737691.,  5081445.,  4,  3,      0.000E+00
   737691.,  5081495.,  4,  4,      0.000E+00
   737691.,  5081545.,  4,  5,      0.000E+00
   737691.,  5081595.,  4,  6,      0.000E+00
   737691.,  5081645.,  4,  7,      0.000E+00
   737691.,  5081695.,  4,  8,      0.000E+00
   737691.,  5081745.,  4,  9,      0.000E+00
   737691.,  5081795.,  4, 10,      0.000E+00
   737691.,  5081845.,  4, 11,      0.000E+00
   737691.,  5081895.,  4, 12,      0.000E+00
   737691.,  5081945.,  4, 13,      0.000E+00
   737691.,  5081995.,  4, 14,      0.000E+00
   737691.,  5082045.,  4, 15,      0.000E+00
   737691.,  5082095.,  4, 16,      0.000E+00
   737691.,  5082145.,  4, 17,      0.000E+00
   737691.,  5082195.,  4, 18,      0.000E+00
   737691.,  5082245.,  4, 19,      0.000E+00
   737691.,  5082295.,  4, 20,      0.000E+00
   737691.,  5082345.,  4, 21,      0.000E+00
   737691.,  5082395.,  4, 22,      0.000E+00
   737691.,  5082445.,  4, 23,      0.000E+00
   737691.,  5082495.,  4, 24,      0.000E+00
   737691.,  5082545.,  4, 25,      0.000E+00
   737691.,  5082595.,  4, 26,      0.000E+00
   737691.,  5082645.,  4, 27,      0.000E+00
   737691.,  5082695.,  4, 28,      0.000E+00
   737691.,  5082745.,  4, 29,      0.000E+00
   737691.,  5082795.,  4, 30,      0.000E+00
   737691.,  5082845.,  4, 31,      0.000E+00
   737691.,  5082895.,  4, 32,      0.000E+00
   737691.,  5082945.,  4, 33,      0.000E+00
   737691.,  5082995.,  4, 34,      0.000E+00
   737691.,  5083045.,  4, 35,      0.000E+00
   737691.,  5083095.,  4, 36,      0.000E+00
   737691.,  5083145.,  4, 37,      0.000E+00
   737691.,  5083195.,  4, 38,      0.000E+00
   737691.,  5083245.,  4, 39,      0.000E+00
   737691.,  5083295.,  4, 40,      0.000E+00
   737691.,  5083345.,  4, 41,      0.000E+00
   737691.,  5083395.,  4, 42,      0.000E+00
   737691.,  5083445.,  4, 43,      0.000E+00
   737691.,  5083495.,  4, 44,      0.000E+00
   737691.,  5083545.,  4, 45,      0.000E+00
   737691.,  5083595.,  4, 46,      0.000E+00
   737691.,  5083645.,  4, 47,      0.000E+00
   737691.,  5083695.,  4, 48,      0.000E+00
   737691.,  5083745.,  4, 49,      0.000E+00
   737691.,  5083795.,  4, 50,      0.000E+00
   737691.,  5083845.,  4, 51,      0.000E+00
   737691.,  5083895.,  4, 52,      0.000E+00
   737691.,  5083945.,  4, 53,      0.000E+00
   737691.,  5083995.,  4, 54,      0.000E+00
   737691.,  5084045.,  4, 55,      0.000E+00
   737691.,  5084095.,  4, 56,      0.000E+00
   737691.,  5084145.,  4, 57,      0.000E+00
   737691.,  5084195.,  4, 58,      0.000E+00
   737691.,  5084245.,  4, 59,      0.000E+00
   737691.,  5084295.,  4, 60,      0.000E+00
   737691.,  5084345.,  4, 61,      0.000E+00
   737691.,  5084395.,  4, 62,      0.000E+00
   737691.,  5084445.,  4, 63,      0.000E+00
   737691.,  5084495.,  4, 64,      0.000E+00
   737691.,  5084545.,  4, 65,      0.000E+00
   737691.,  5084595.,  4, 66,      0.000E+00
   737691.,  5084645.,  4, 67,      0.000E+00
   737691.,  5084695.,  4, 68,      0.000E+00
   737691.,  5084745.,  4, 69,      0.000E+00
   737691.,  5084795.,  4, 70,      0.000E+00
   737691.,  5084845.,  4, 71,      0.000E+00
   737691.,  5084895.,  4, 72,      0.000E+00
