 X,Y,I,J,MAX1H,NSUP1H,EPISODES,DURMAX
   737591.,  5083995.,  2, 54,      3.141E-01,     0,     0,    0.
   737591.,  5084045.,  2, 55,      3.276E-01,     0,     0,    0.
   737591.,  5084095.,  2, 56,      3.414E-01,     0,     0,    0.
   737591.,  5084145.,  2, 57,      3.514E-01,     0,     0,    0.
   737591.,  5084195.,  2, 58,      3.534E-01,     0,     0,    0.
   737591.,  5084245.,  2, 59,      2.930E-01,     0,     0,    0.
   737591.,  5084295.,  2, 60,      2.952E-01,     0,     0,    0.
   737591.,  5084345.,  2, 61,      3.597E-01,     0,     0,    0.
   737591.,  5084395.,  2, 62,      3.911E-01,     0,     0,    0.
   737591.,  5084445.,  2, 63,      3.594E-01,     0,     0,    0.
   737591.,  5084495.,  2, 64,      3.695E-01,     0,     0,    0.
   737591.,  5084545.,  2, 65,      3.234E-01,     0,     0,    0.
   737591.,  5084595.,  2, 66,      3.090E-01,     0,     0,    0.
   737591.,  5084645.,  2, 67,      2.812E-01,     0,     0,    0.
   737591.,  5084695.,  2, 68,      2.441E-01,     0,     0,    0.
   737591.,  5084745.,  2, 69,      2.704E-01,     0,     0,    0.
   737591.,  5084795.,  2, 70,      2.861E-01,     0,     0,    0.
   737591.,  5084845.,  2, 71,      2.331E-01,     0,     0,    0.
   737591.,  5084895.,  2, 72,      2.153E-01,     0,     0,    0.
   737591.,  5084945.,  2, 73,      2.366E-01,     0,     0,    0.
   737591.,  5084995.,  2, 74,      2.489E-01,     0,     0,    0.
   737591.,  5085045.,  2, 75,      2.238E-01,     0,     0,    0.
   737591.,  5085095.,  2, 76,      1.798E-01,     0,     0,    0.
   737591.,  5085145.,  2, 77,      1.537E-01,     0,     0,    0.
   737591.,  5085195.,  2, 78,      1.716E-01,     0,     0,    0.
   737591.,  5085245.,  2, 79,      1.822E-01,     0,     0,    0.
   737591.,  5085295.,  2, 80,      1.907E-01,     0,     0,    0.
   737591.,  5085345.,  2, 81,      2.032E-01,     0,     0,    0.
   737591.,  5085395.,  2, 82,      2.097E-01,     0,     0,    0.
   737591.,  5085445.,  2, 83,      2.334E-01,     0,     0,    0.
   737591.,  5085495.,  2, 84,      2.309E-01,     0,     0,    0.
   737591.,  5085545.,  2, 85,      1.877E-01,     0,     0,    0.
   737591.,  5085595.,  2, 86,      1.688E-01,     0,     0,    0.
   737591.,  5085645.,  2, 87,      1.498E-01,     0,     0,    0.
   737591.,  5085695.,  2, 88,      1.371E-01,     0,     0,    0.
   737591.,  5085745.,  2, 89,      1.226E-01,     0,     0,    0.
   737591.,  5085795.,  2, 90,      1.444E-01,     0,     0,    0.
   737591.,  5085845.,  2, 91,      1.886E-01,     0,     0,    0.
   737591.,  5085895.,  2, 92,      2.283E-01,     0,     0,    0.
   737591.,  5085945.,  2, 93,      2.277E-01,     0,     0,    0.
   737591.,  5085995.,  2, 94,      1.828E-01,     0,     0,    0.
   737591.,  5086045.,  2, 95,      1.284E-01,     0,     0,    0.
   737591.,  5086095.,  2, 96,      8.860E-02,     0,     0,    0.
   737591.,  5086145.,  2, 97,      6.251E-02,     0,     0,    0.
   737591.,  5086195.,  2, 98,      4.384E-02,     0,     0,    0.
   737591.,  5086245.,  2, 99,      2.958E-02,     0,     0,    0.
   737591.,  5086295.,  2,100,      1.915E-02,     0,     0,    0.
   737641.,  5081345.,  3,  1,      2.267E-01,     0,     0,    0.
   737641.,  5081395.,  3,  2,      2.677E-01,     0,     0,    0.
   737641.,  5081445.,  3,  3,      3.034E-01,     0,     0,    0.
   737641.,  5081495.,  3,  4,      3.384E-01,     0,     0,    0.
   737641.,  5081545.,  3,  5,      3.484E-01,     0,     0,    0.
